ID,File_name,Report_ID,Site,Prefecture,Feature,type,rim_diamiter,hight,調整_内面,調整_外面,Reference,Target
1,ISa001,1,七尾城跡シッケ地区,Ishikawa,SX09,石Bh,6.6,1.7,不明,不明,七尾市教育委員会文化課 1992,FALSE
2,ISa002,2,七尾城跡シッケ地区,Ishikawa,SX09,石Bh,7.8,1.6,不明,不明,七尾市教育委員会文化課 1992,FALSE
3,ISa003,3,七尾城跡シッケ地区,Ishikawa,SX09,石Bh,7.8,1.5,不明,不明,七尾市教育委員会文化課 1992,FALSE
4,ISa004,4,七尾城跡シッケ地区,Ishikawa,SX09,石A,7.9,2.6,不明,不明,七尾市教育委員会文化課 1992,FALSE
5,ISa005,5,七尾城跡シッケ地区,Ishikawa,SX09,石B,7.5,1.9,不明,不明,七尾市教育委員会文化課 1992,TRUE
6,ISa006,6,七尾城跡シッケ地区,Ishikawa,SX09,石B,9.0,2.1,不明,不明,七尾市教育委員会文化課 1992,TRUE
7,ISa007,7,七尾城跡シッケ地区,Ishikawa,SX09,石B,9.5,1.8,不明,不明,七尾市教育委員会文化課 1992,TRUE
8,ISa008,8,七尾城跡シッケ地区,Ishikawa,SX09,石B,9.2,1.6,不明,不明,七尾市教育委員会文化課 1992,TRUE
9,ISa009,9,七尾城跡シッケ地区,Ishikawa,SX09,石B,8.0,1.7,不明,不明,七尾市教育委員会文化課 1992,TRUE
10,ISa010,10,七尾城跡シッケ地区,Ishikawa,SX09,石B,9.1,1.7,不明,不明,七尾市教育委員会文化課 1992,TRUE
11,ISa011,11,七尾城跡シッケ地区,Ishikawa,SX09,石B,8.7,2.1,不明,不明,七尾市教育委員会文化課 1992,TRUE
12,ISa012,12,七尾城跡シッケ地区,Ishikawa,SX09,石B,9.1,1.9,不明,不明,七尾市教育委員会文化課 1992,TRUE
13,ISa013,13,七尾城跡シッケ地区,Ishikawa,SX09,石B,9.1,1.9,不明,不明,七尾市教育委員会文化課 1992,TRUE
14,ISa014,14,七尾城跡シッケ地区,Ishikawa,SX09,石B,11.4,2.3,不明,不明,七尾市教育委員会文化課 1992,TRUE
15,ISa015,15,七尾城跡シッケ地区,Ishikawa,SX09,石B,11.3,2.4,不明,不明,七尾市教育委員会文化課 1992,TRUE
16,ISa016,16,七尾城跡シッケ地区,Ishikawa,SX09,石B,11.7,2.1,不明,不明,七尾市教育委員会文化課 1992,TRUE
17,ISa017,17,七尾城跡シッケ地区,Ishikawa,SX09,石B,11.5,2.2,不明,不明,七尾市教育委員会文化課 1992,TRUE
18,ISa018,18,七尾城跡シッケ地区,Ishikawa,SX09,石B,11.9,2.1,不明,不明,七尾市教育委員会文化課 1992,TRUE
19,ISa019,19,七尾城跡シッケ地区,Ishikawa,SX09,石B,11.7,1.9,不明,不明,七尾市教育委員会文化課 1992,TRUE
20,ISa020,20,七尾城跡シッケ地区,Ishikawa,SX09,石B,11.8,2.1,不明,不明,七尾市教育委員会文化課 1992,TRUE
21,ISa021,21,七尾城跡シッケ地区,Ishikawa,SX09,石B,12.1,2.3,不明,不明,七尾市教育委員会文化課 1992,TRUE
22,ISa022,22,七尾城跡シッケ地区,Ishikawa,SX09,石B,13.6,2.2,不明,不明,七尾市教育委員会文化課 1992,TRUE
23,ISa023,23,七尾城跡シッケ地区,Ishikawa,SX09,石B,13.9,2.3,不明,不明,七尾市教育委員会文化課 1992,TRUE
24,ISa024,24,七尾城跡シッケ地区,Ishikawa,SX09,石B,13.9,2.2,不明,不明,七尾市教育委員会文化課 1992,TRUE
25,ISa025,25,七尾城跡シッケ地区,Ishikawa,SX09,石B,14.9,2.2,不明,不明,七尾市教育委員会文化課 1992,TRUE
26,ISa026,26,七尾城跡シッケ地区,Ishikawa,SX09,石B,13.7,2.3,不明,不明,七尾市教育委員会文化課 1992,TRUE
27,ISa027,27,七尾城跡シッケ地区,Ishikawa,SX09,石B,14.4,2.3,不明,不明,七尾市教育委員会文化課 1992,TRUE
28,ISb0650,650,小島西遺跡,Ishikawa,B_SK25,石B,9.1,1.9,不明,不明,石川県教育委員会他2008,TRUE
29,ISb0651,651,小島西遺跡,Ishikawa,B_SK25,石B,12.5,2.1,不明,不明,石川県教育委員会他2008,TRUE
